"","OBJECTID","Join_Count","TARGET_FID","YEAR","TRI_FACILI","FRS_ID","FACILITY_N","STREET_ADD","CITY","COUNTY","ST","ZIP","BIA_CODE","TRIBE","LATITUDE","LONGITUDE","FEDERAL_FA","INDUSTRY_S","INDUSTRY_1","PRIMARY_SI","SIC_2","SIC_3","SIC_4","SIC_5","SIC_6","PRIMARY_NA","NAICS_2","NAICS_3","NAICS_4","NAICS_5","NAICS_6","DOC_CTRL_N","CHEMICAL","CAS___COMP","SRS_ID","CLEAR_AIR_","CLASSIFICA","METAL","METAL_CATE","CARCINOGEN","FORM_TYPE","UNIT_OF_ME","F5_1_FUGITI","F5_2_STACK_","F5_3_WATER","F5_4_UNDERG","F5_4_1_UNDE","F5_4_2_UNDE","F5_5_1_LAND","F5_5_1A_RCR","F5_5_1B_OTH","F5_5_2_LAND","F5_5_3_SURF","F5_5_3A_RCR","F5_5_3B_Oth","F5_5_4_OTHE","ON_SITE_RE","F6_1_POTW_T","F6_1_POTW_1","F6_1_POTW_2","F6_2_M10","F6_2_M41","F6_2_M62","F6_2_M71","F6_2_M81","F6_2_M82","F6_2_M72","F6_2_M63","F6_2_M66","F6_2_M67","F6_2_M64","F6_2_M65","F6_2_M73","F6_2_M79","F6_2_M90","F6_2_M94","F6_2_M99","OFF_SITE_R","F6_2_M20","F6_2_M24","F6_2_M26","F6_2_M28","F6_2_M93","OFF_SITE_1","F6_2_M56","F6_2_M92","OFF_SITE_2","F6_2_M40","F6_2_M50","F6_2_M54","F6_2_M61","F6_2_M69","F6_2_M95","OFF_SITE_T","TOTAL_RELE","F8_1_RELEAS","F8_1A_ON_SI","F8_1B_ON_SI","F8_1C_OFF_S","F8_1D_OFF_S","F8_2_ENERGY","F8_3_ENERGY","F8_4_RECYCL","F8_5_RECYCL","F8_6_TREATM","F8_7_TREATM","PROD__WAST","F8_8_ONE_TI","PROD_RATIO","F8_9_PRODUC","PARENT_COM","PARENT_C_1","Field110","STATEFP00","COUNTYFP00","TRACTCE00","BLKGRPCE00","BKGPIDFP00","NAMELSAD00","MTFCC00","FUNCSTAT00","ALAND00","AWATER00","INTPTLAT00","INTPTLON00","OID_","Field1","GEOID","GEO_label","total_x","under_50","from_50_to","from_75_to","from_100_t","from_125_t","from_150_t","from_175_t","from_185_t","from_200_u","below_200","fraction_b","over_30_un","total_y","not_Hispan","non_HL_whi","non_HL_Bla","non_HL_AIA","non_HL_Asi","non_HL_NHO","non_HL_oth","non_HL_2_p","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_wh","percent_Bl","percent_HL","percent_AI","percent_As","percent_NH","percent_ot","GEOID2_Tex","STATEFP10","COUNTYFP10","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","NAMELSAD10","LSAD10","CLASSFP10","MTFCC10","CNECTAFP10","NECTAFP10","NCTADVFP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","GEOID_AFF2","GEOID_AFF1","covered_facility","TRUE_TOTAL_RELEASE_POUNDS"
"178",178,1,178,2008,"06066MRBLL104EA",110011369214,"AMERBELLE TEXTILES LLC","104 E MAIN ST","VERNON","TOLLAND","CT",6066,NA,NA,41.8674,-72.442844,"NO",313,"Textiles",NA,NA,NA,NA,NA,NA,313311,0,NA,0,0,0,1308208933780,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","R","Pounds",9805.45,5233.42,0,0,0,0,0,0,0,0,0,0,0,0,15038.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15038.87,0,0,15038.87,0,0,0,0,0,0,287155.8,0,302194.67,0,NA,1,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15038.87
"179",179,0,179,2008,"06492MTKNC21TOE",110000316667,"AMETEK SPECIALTY METAL PRODUCTS DIV","21TOELLES RD","WALLINGFORD","NEW HAVEN","CT",6492,NA,NA,41.42904,-72.84005,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331491,332618,331319,331421,332999,332811,1308206770140,"NICKEL","007440020",149674,"YES","TRI","YES",1,"YES","R","Pounds",250,0,5,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436825,0,0,0,436825,0,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,0,436825,0,0,437080,0,NA,1.44,"AMETEK INC","001345149",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255
"180",180,1,180,2008,"06018QGLYCDAISE",110041526177,"MINTEQ/SPECIALTY MINERALS","77 DAISY HILL RD","NORTH CANAAN","LITCHFIELD","CT",6018,NA,NA,42.028147,-73.31719,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331491,325188,212312,0,0,0,1308206393330,"NAPHTHALENE","000091203",13326,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"MINERALS TECHNOLOGIES INC","796929313",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"181",181,0,181,2008,"06468VTRMNROUTE",110000316355,"VISHAY VITRAMON INC","10 MAIN ST","MONROE","FAIRFIELD","CT",64681610,NA,NA,41.297,-73.24694,"NO",334,"Computers and Electronic Products",NA,NA,NA,NA,NA,NA,334414,0,NA,0,0,0,1308206727620,"BARIUM COMPOUNDS","N040",649426,"NO","TRI","NO",3,"NO","R","Pounds",250,250,5,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,3693,14,0,0,0,0,0,0,0,0,3531,0,0,6170,0,0,13408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13913,0,0,505,3531,9877,0,0,0,0,0,0,13913,0,NA,0.65,"VISHAY INTERTECHNOLOGY INC","002327484",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13913
"182",182,1,182,2008,"06492THRMS155EA",110032958066,"THERMOSPAS INC","155 EAST ST","WALLINGFORD","NEW HAVEN","CT",6492,NA,NA,41.449428,-72.832958,"NO",326,"Plastics and Rubber",NA,NA,NA,NA,NA,NA,326191,0,NA,0,0,0,1308206710170,"STYRENE","000100425",19414,"YES","TRI","NO",0,"YES","R","Pounds",0,17940,0,0,0,0,0,0,0,0,0,0,0,0,17940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17940,0,0,17940,0,0,0,0,0,0,0,0,17940,0,NA,0.8,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17940
"183",183,0,183,2008,"06601SKRSK6900M",110000316970,"SIKORSKY AIRCRAFT STRATFORD FACILITY","6900 MAIN ST","STRATFORD","FAIRFIELD","CT",6614,NA,NA,41.2484,-73.09765,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336411,0,NA,0,0,0,1308206955430,"METHANOL","000067561",4283,"YES","TRI","NO",0,"NO","R","Pounds",355,182,0,0,0,0,0,0,0,0,0,0,0,0,537,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,3,131,537,0,0,537,0,0,0,5,0,0,0,130,672,1,NA,1.14,"LOCKHEED MARTIN CORP","834951691",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,537
"184",184,0,184,2008,"06457LQDPL79BRA",110024550421,"LIQUID PLASTICS INC.","79 BRADLEY ST","MIDDLETOWN","MIDDLESEX","CT",6457,NA,NA,41.592675,-72.727815,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,0,NA,0,0,0,1308206201080,"DIISOCYANATES","N120",649715,"YES","TRI","NO",0,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,1500,0,0,0,0,0,0,1500,0,NA,1.55,"SIKA CORP",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1500
"185",185,0,185,2008,"06787SMMTC1430W",110000317443,"SUMMIT CORP OF AMERICA","1430 WATERBURY RD","THOMASTON","LITCHFIELD","CT",6787,NA,NA,41.62777,-73.06839,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308207062530,"NITRATE COMPOUNDS","N511",649616,"NO","TRI","NO",0,"NO","R","Pounds",0,0,133384,0,0,0,0,0,0,0,0,0,0,0,133384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133384,0,0,133384,0,0,0,0,0,0,89600,0,222984,0,NA,1.5,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133384
"186",186,1,186,2008,"0679WFRNKL153WA",110003004631,"FRANKLIN PRODUCTS INC","153 WATER ST","TORRINGTON","LITCHFIELD","CT",6790,NA,NA,41.80193,-73.12515,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336413,0,NA,0,0,0,1308207100520,"TOLUENE-2,4-DIISOCYANATE","000584849",55939,"YES","TRI","NO",0,"YES","R","Pounds",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,NA,1.32,"FRANKLIN PRODUCTS INC","188953186",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"187",187,0,187,2008,"06492MTKNC21TOE",110000316667,"AMETEK SPECIALTY METAL PRODUCTS DIV","21TOELLES RD","WALLINGFORD","NEW HAVEN","CT",6492,NA,NA,41.42904,-72.84005,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331491,332618,331319,331421,332999,332811,1308206770130,"COPPER","007440508",150086,"NO","TRI","YES",1,"NO","R","Pounds",250,0,5,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141887,0,0,0,141887,0,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,0,141887,0,0,142142,0,NA,1.29,"AMETEK INC","001345149",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255
"188",188,1,188,2008,"06010STRNP110HA",110008053809,"IDEX HEALTH & SCIENCE LLC","110 HALCYON DR","BRISTOL","HARTFORD","CT",6010,NA,NA,41.65164,-72.91916,"NO",326,"Plastics and Rubber",NA,NA,NA,NA,NA,NA,326199,0,NA,0,0,0,1308207073500,"DICHLOROMETHANE","000075092",5306,"YES","TRI","NO",0,"YES","R","Pounds",0,12100,0,0,0,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100,0,0,12100,0,0,0,0,0,0,0,0,12100,0,NA,0.9,"IDEX CORP","183580844",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12100
"189",189,0,189,2008,"06492CYRNDSOUTH",110043236281,"EVONIK CYRO LLC","528 S CHERRY ST","WALLINGFORD","NEW HAVEN","CT",6492,NA,NA,41.435833,-72.835278,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,0,NA,0,0,0,1308206278640,"ACRYLONITRILE","000107131",24182,"YES","TRI","NO",0,"YES","R","Pounds",79,119,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.8,0,241.8,0,63,0,0.9,0,0,63.9,198,0,0,198,0,0,0,241.8,2024,0,0,63.9,2527.7,0,NA,1.1,"EVONIK CORP","361988228",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,198
"190",190,1,190,2008,"06615FDTMT905HO",110003015291,"FOOD AUTOMATION-SERVICE TECHNIQUES INC.","905 HONEYSPOT RD","STRATFORD","FAIRFIELD","CT",6615,NA,NA,41.17389,-73.14841,"NO",334,"Computers and Electronic Products",NA,NA,NA,NA,NA,NA,334519,334419,335931,334418,0,0,1308206239040,"LEAD COMPOUNDS","N420",650002,"YES","PBT","YES",1,"NO","R","Pounds",0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.15,0,0,0,147.15,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0.006,0,0,0,0,0,147.15,0,0,147.156,0,NA,1.25,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.006
"191",191,1,191,2008,"06704TRLVM984WA",110002089604,"H&T WATERBURY INC","984 WATERVILLE ST","WATERBURY","NEW HAVEN","CT",6710,NA,NA,41.5848,-73.0475,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332116,0,NA,0,0,0,1308206770190,"NICKEL","007440020",149674,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,7,0,0,17,0,NA,0.96,"HEITKAMP & THUMANN GROUP",NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10
"192",192,0,192,2008,"06111DVNCD681NM",110002497218,"ADVANCED ADHESIVE SYSTEMS INC","681 NORTH MOUNTAIN RD","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.721652,-72.717014,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325520,0,NA,0,0,0,1308206359390,"ETHYLBENZENE","000100414",19406,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"193",193,1,193,2008,"06226BRNTC1600W",110000315784,"GENERAL CABLE INDUSTRIES","1600 WEST MAIN ST","WILLIMANTIC","WINDHAM","CT",6226,NA,NA,41.72295,-72.23935,"NO",335,"Electrical Equipment",NA,NA,NA,NA,NA,NA,335929,0,NA,0,0,0,1308207009640,"ZINC COMPOUNDS","N982",649699,"NO","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862,0,0,0,0,0,0,2862,0,0,0,0,346,346,0,0,0,0,0,0,0,0,0,0,2862,0,0,0,2862,0,0,0,0,346,0,0,3208,0,NA,0,"GENERAL CABLE CORP","847914173",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2862
"194",194,1,194,2008,"06604BRDGP1ATLA",110000316989,"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT",6604,NA,NA,41.17067,-73.18408,"NO",2211,"Electric Utilities",NA,NA,NA,NA,NA,NA,221112,0,NA,0,0,0,1308206308280,"BENZO(G,H,I)PERYLENE","000191242",40576,"YES","PBT","NO",0,"YES","R","Pounds",0,0.0451,0,0,0,0,0,0,0,0,0,0,0,0,0.0451,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,1.23,0,0,8.8e-05,0,0,8.8e-05,0,0,0,0,0,0,0,0,0,0,1.2751,0,0,0.0451,1.23,0,0,0,0,8.8e-05,0,0,1.275188,0,NA,1.23,"PUBLIC SERVICE ENTERPRISE GROUP","160945242",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2751
"195",195,0,195,2008,"06070THNSG660HO",110000315409,"DYNO NOBEL INC","660 HOPMEADOW ST","SIMSBURY","HARTFORD","CT",6070,NA,NA,41.869055,-72.805771,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325920,0,NA,0,0,0,1308206905310,"LEAD COMPOUNDS","N420",650002,"YES","PBT","YES",1,"NO","R","Pounds",1.21,6.25,11.6,0,0,0,0,0,0,0,0,0,0,0,19.06,0.24,0,0.24,0,3635.5,0.06,0,0,0,0,0,0,0,0,9,0,0,0,732.54,0,4377.34,0,0,75111,0,0,75111,0,0,0,0,0,0,0,0,0,0,4396.4,0,0,19.06,9,4368.34,0,0,0,75111,0,0,79507.4,0,NA,1.01,"DYNO NOBEL INC",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4396.4
"196",196,1,196,2008,"06723THWTR114PO",110000747470,"WATERBURY PLATING LLC","114 PORTER ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.54239,-73.04208,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,332812,NA,0,0,0,1308206561210,"NITRIC ACID","007697372",152686,"NO","TRI","NO",0,"NO","R","Pounds",5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,1067,10,0,0,10,0,0,0,0,0,0,21134,1067,22211,0,NA,1,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10
"197",197,0,197,2008,"06497HMPFR292LO",110000316701,"HAMPFORD RESEARCH INC","54 VETERANS BLVD","STRATFORD","FAIRFIELD","CT",6615,NA,NA,41.19791,-73.12132,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,0,NA,0,0,0,1308206430910,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","R","Pounds",686,2745,0,0,0,0,0,0,0,0,0,0,0,0,3431,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,16579,0,16579,0,24446,0,0,0,0,24446,3985,0,0,3431,0,554,0,16579,70230,0,0,24446,115240,0,NA,0.37,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3985
"198",198,1,198,2008,"06790LLNCC180CH",110015681788,"ALADDIN MANUFACTURING CARPET CUSHION - TORRINGTON CT","180 CHURCH ST","TORRINGTON","LITCHFIELD","CT",6790,NA,NA,41.803329,-73.126529,"NO",326,"Plastics and Rubber",NA,NA,NA,NA,NA,NA,326150,0,NA,0,0,0,1308206299720,"DIISOCYANATES","N120",649715,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"MOHAWK INDUSTRIES INC","612757070",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
