FID,STATEFP00,COUNTYFP00,TRACTCE00,BLKGRPCE00,BKGPIDFP00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,OID_,Field1,GEOID,GEO_label,total_x,under_50,from_50_to,from_75_to,from_100_t,from_125_t,from_150_t,from_175_t,from_185_t,from_200_u,below_200,fraction_b,over_30_un,total_y,not_Hispan,non_HL_whi,non_HL_Bla,non_HL_AIA,non_HL_Asi,non_HL_NHO,non_HL_oth,non_HL_2_p,HL,HL_white,HL_Black,HL_AIAN,HL_Asian,HL_NHOPI,HL_other,HL_2_plus,percent_wh,percent_Bl,percent_HL,percent_AI,percent_As,percent_NH,percent_ot,GEOID2_Tex
628,09,001,071600,1,090010716001,Block Group 1,G5030,S,86209.000000000000000,0.000000000000000,+41.1846661,-073.1953675,353,354,1500000US090010716001,"Block Group 1, Census Tract 716, Fairfield County, Connecticut",1325,273,164,105,245,104,29,58,45,302,1023,1,yes,1331,595,80,473,0,0,0,0,42,736,182,36,34,0,0,434,50,0,0,1,0,0,0,0,090010716001
629,09,001,071600,2,090010716002,Block Group 2,G5030,S,86102.000000000000000,0.000000000000000,+41.1819468,-073.1963142,354,355,1500000US090010716002,"Block Group 2, Census Tract 716, Fairfield County, Connecticut",789,101,98,18,143,97,9,0,17,306,483,1,yes,789,474,87,321,0,0,0,9,57,315,202,6,0,0,0,107,0,0,0,0,0,0,0,0,090010716002
630,09,001,071800,1,090010718001,Block Group 1,G5030,S,155021.000000000000000,0.000000000000000,+41.2027575,-073.2022911,356,357,1500000US090010718001,"Block Group 1, Census Tract 718, Fairfield County, Connecticut",771,69,10,52,8,19,46,85,16,466,305,0,yes,784,522,313,112,0,8,0,42,47,262,85,16,0,0,0,133,28,0,0,0,0,0,0,0,090010718001
631,09,001,071800,3,090010718003,Block Group 3,G5030,S,229860.000000000000000,0.000000000000000,+41.1956942,-073.1968809,358,359,1500000US090010718003,"Block Group 3, Census Tract 718, Fairfield County, Connecticut",1464,208,22,57,139,51,26,54,50,857,607,0,yes,1493,959,351,398,0,57,0,23,130,534,208,15,0,0,0,218,93,0,0,0,0,0,0,0,090010718003
632,09,001,071800,2,090010718002,Block Group 2,G5030,S,124388.000000000000000,0.000000000000000,+41.1991053,-073.1998356,357,358,1500000US090010718002,"Block Group 2, Census Tract 718, Fairfield County, Connecticut",790,39,9,43,91,29,0,29,8,542,248,0,yes,790,529,138,197,0,50,0,13,131,261,161,12,0,0,0,68,20,0,0,0,0,0,0,0,090010718002
633,09,001,071900,1,090010719001,Block Group 1,G5030,S,260770.000000000000000,0.000000000000000,+41.1956565,-073.2033431,359,360,1500000US090010719001,"Block Group 1, Census Tract 719, Fairfield County, Connecticut",2307,381,29,130,327,131,86,31,50,1142,1165,1,yes,2341,1568,725,624,0,100,0,49,70,773,359,0,0,0,0,373,41,0,0,0,0,0,0,0,090010719001
634,09,001,071900,2,090010719002,Block Group 2,G5030,S,233254.000000000000000,0.000000000000000,+41.1919903,-073.2006335,360,361,1500000US090010719002,"Block Group 2, Census Tract 719, Fairfield County, Connecticut",1283,90,92,51,52,117,135,31,0,715,568,0,yes,2088,1432,649,554,21,18,0,0,190,656,379,29,0,0,0,201,47,0,0,0,0,0,0,0,090010719002
635,09,001,072000,1,090010720001,Block Group 1,G5030,S,273895.000000000000000,0.000000000000000,+41.1914661,-073.2087402,361,362,1500000US090010720001,"Block Group 1, Census Tract 720, Fairfield County, Connecticut",1904,213,27,23,53,44,123,31,138,1252,652,0,yes,1904,1507,870,422,0,59,0,25,131,397,236,0,0,0,0,135,26,0,0,0,0,0,0,0,090010720001
636,09,001,072000,2,090010720002,Block Group 2,G5030,S,414014.000000000000000,0.000000000000000,+41.1877615,-073.2057338,362,363,1500000US090010720002,"Block Group 2, Census Tract 720, Fairfield County, Connecticut",1486,30,14,65,96,188,46,15,3,1029,457,0,yes,1490,1073,409,425,0,195,0,0,44,417,250,0,0,5,0,117,45,0,0,0,0,0,0,0,090010720002
637,09,001,072100,2,090010721002,Block Group 2,G5030,S,285454.000000000000000,0.000000000000000,+41.1845699,-073.2109331,364,365,1500000US090010721002,"Block Group 2, Census Tract 721, Fairfield County, Connecticut",1892,111,31,0,87,111,17,35,28,1472,420,0,no,1899,1345,795,255,65,89,0,0,141,554,292,12,0,0,0,207,43,0,0,0,0,0,0,0,090010721002
638,09,001,081300,4,090010813004,Block Group 4,G5030,S,1869809.000000000000000,128027.000000000000000,+41.2560159,-073.0980890,472,473,1500000US090010813004,"Block Group 4, Census Tract 813, Fairfield County, Connecticut",680,8,0,0,28,0,20,9,0,615,65,0,no,680,680,639,13,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090010813004
639,09,001,081300,1,090010813001,Block Group 1,G5030,S,4650295.000000000000000,244907.000000000000000,+41.2489451,-073.1336934,469,470,1500000US090010813001,"Block Group 1, Census Tract 813, Fairfield County, Connecticut",1513,0,18,0,0,35,8,14,0,1438,75,0,no,1513,1482,1411,13,0,58,0,0,0,31,31,0,0,0,0,0,0,1,0,0,0,0,0,0,090010813001
640,09,001,090100,9,090010901009,Block Group 9,G5030,S,4025829.000000000000000,0.000000000000000,+41.2880586,-073.2481211,474,475,1500000US090010901009,"Block Group 9, Census Tract 901, Fairfield County, Connecticut",1236,0,0,0,2,27,0,7,0,1200,36,0,no,1236,1205,1160,27,0,4,0,0,14,31,31,0,0,0,0,0,0,1,0,0,0,0,0,0,090010901009
641,09,001,090100,1,090010901001,Block Group 1,G5030,S,4440064.000000000000000,87362.000000000000000,+41.2799346,-073.2662304,473,474,1500000US090010901001,"Block Group 1, Census Tract 901, Fairfield County, Connecticut",1752,16,4,10,0,0,4,0,26,1692,60,0,no,1752,1729,1598,8,4,66,0,11,42,23,10,0,0,0,0,13,0,1,0,0,0,0,0,0,090010901001
642,09,001,090200,1,090010902001,Block Group 1,G5030,S,2566665.000000000000000,0.000000000000000,+41.2713511,-073.2221408,475,476,1500000US090010902001,"Block Group 1, Census Tract 902, Fairfield County, Connecticut",1405,39,0,0,0,25,15,55,21,1250,155,0,no,1709,1645,1599,0,0,46,0,0,0,64,58,0,0,0,0,6,0,1,0,0,0,0,0,0,090010902001
643,09,001,090200,4,090010902004,Block Group 4,G5030,S,1553714.000000000000000,0.000000000000000,+41.2784252,-073.2351194,478,479,1500000US090010902004,"Block Group 4, Census Tract 902, Fairfield County, Connecticut",1572,15,0,6,0,0,23,0,15,1513,59,0,no,1572,1473,1352,0,29,36,0,0,56,99,99,0,0,0,0,0,0,1,0,0,0,0,0,0,090010902004
644,09,001,021200,1,090010212001,Block Group 1,G5030,S,1070640.000000000000000,0.000000000000000,+41.0745400,-073.5375136,92,93,1500000US090010212001,"Block Group 1, Census Tract 212, Fairfield County, Connecticut",1884,48,36,46,19,65,23,16,14,1617,267,0,no,1884,1838,1589,150,0,62,0,0,37,46,35,0,0,0,0,11,0,1,0,0,0,0,0,0,090010212001
645,09,001,021200,2,090010212002,Block Group 2,G5030,S,822030.000000000000000,0.000000000000000,+41.0712810,-073.5439885,93,94,1500000US090010212002,"Block Group 2, Census Tract 212, Fairfield County, Connecticut",1308,60,0,13,5,25,33,0,8,1164,144,0,no,1308,1247,1022,69,0,112,0,0,44,61,43,0,0,0,0,18,0,1,0,0,0,0,0,0,090010212002
646,09,001,021200,3,090010212003,Block Group 3,G5030,S,500293.000000000000000,0.000000000000000,+41.0800131,-073.5451672,94,95,1500000US090010212003,"Block Group 3, Census Tract 212, Fairfield County, Connecticut",830,0,0,0,0,0,0,0,18,812,18,0,no,830,830,755,0,0,54,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090010212003
647,09,001,021300,2,090010213002,Block Group 2,G5030,S,749567.000000000000000,0.000000000000000,+41.0640613,-073.5505611,96,97,1500000US090010213002,"Block Group 2, Census Tract 213, Fairfield County, Connecticut",1467,22,0,0,12,28,0,9,55,1341,126,0,no,1467,1361,1106,186,0,47,0,13,9,106,6,19,0,0,0,81,0,1,0,0,0,0,0,0,090010213002
648,09,001,021300,3,090010213003,Block Group 3,G5030,S,701885.000000000000000,0.000000000000000,+41.0594255,-073.5539106,97,98,1500000US090010213003,"Block Group 3, Census Tract 213, Fairfield County, Connecticut",1222,13,42,9,35,62,42,40,0,979,243,0,no,1222,1010,521,440,12,0,0,0,37,212,84,4,0,0,0,124,0,0,0,0,0,0,0,0,090010213003
649,09,011,702900,3,090117029003,Block Group 3,G5030,S,1100082.000000000000000,52743.000000000000000,+41.3141868,-072.0100508,2361,2362,1500000US090117029003,"Block Group 3, Census Tract 7029, New London County, Connecticut",678,2,0,0,5,4,10,5,2,650,28,0,no,678,647,636,0,2,9,0,0,0,31,31,0,0,0,0,0,0,1,0,0,0,0,0,0,090117029003
650,09,011,702900,4,090117029004,Block Group 4,G5030,S,3898730.000000000000000,19740730.000000000000000,+41.3130407,-072.0317644,2362,2363,1500000US090117029004,"Block Group 4, Census Tract 7029, New London County, Connecticut",259,0,0,0,0,0,0,0,0,259,0,0,no,259,250,248,0,0,0,0,0,2,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,090117029004
651,09,011,702900,2,090117029002,Block Group 2,G5030,S,648582.000000000000000,1542164.000000000000000,+41.3197989,-071.9893281,2360,2361,1500000US090117029002,"Block Group 2, Census Tract 7029, New London County, Connecticut",601,16,0,0,0,8,9,5,0,563,38,0,no,601,570,556,0,0,0,0,0,14,31,31,0,0,0,0,0,0,1,0,0,0,0,0,0,090117029002
652,09,011,702900,1,090117029001,Block Group 1,G5030,S,2047135.000000000000000,255890.000000000000000,+41.3375049,-071.9975604,2359,2360,1500000US090117029001,"Block Group 1, Census Tract 7029, New London County, Connecticut",1107,5,9,13,34,34,15,21,23,953,154,0,no,1107,1098,1050,14,0,28,0,0,6,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,090117029001
653,09,011,703100,9,090117031009,Block Group 9,G5030,S,2160750.000000000000000,599837.000000000000000,+41.3970496,-072.0867978,2366,2367,1500000US090117031009,"Block Group 9, Census Tract 7031, New London County, Connecticut",134,0,0,0,0,0,0,0,0,134,0,0,no,1488,1387,1112,174,41,9,0,0,51,101,25,11,0,0,0,49,16,1,0,0,0,0,0,0,090117031009
654,09,011,702300,2,090117023002,Block Group 2,G5030,S,726766.000000000000000,0.000000000000000,+41.3684939,-072.0761918,2346,2347,1500000US090117023002,"Block Group 2, Census Tract 7023, New London County, Connecticut",785,0,0,17,20,33,37,43,74,561,224,0,no,785,730,676,0,0,18,0,0,36,55,10,0,0,0,0,13,32,1,0,0,0,0,0,0,090117023002
655,09,011,693400,4,090116934004,Block Group 4,G5030,S,2588508.000000000000000,98162.000000000000000,+41.3392514,-072.1305001,2279,2280,1500000US090116934004,"Block Group 4, Census Tract 6934, New London County, Connecticut",908,18,0,88,56,0,5,9,0,732,176,0,no,908,886,832,19,0,13,0,0,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,090116934004
656,09,011,693500,2,090116935002,Block Group 2,G5030,S,4601085.000000000000000,7942376.000000000000000,+41.3008609,-072.1343746,2281,2282,1500000US090116935002,"Block Group 2, Census Tract 6935, New London County, Connecticut",1891,32,0,10,38,40,13,24,7,1727,164,0,no,1891,1891,1772,11,0,73,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116935002
657,09,011,693500,1,090116935001,Block Group 1,G5030,S,8477720.000000000000000,7412900.000000000000000,+41.3049546,-072.1160101,2280,2281,1500000US090116935001,"Block Group 1, Census Tract 6935, New London County, Connecticut",1515,20,22,14,12,32,29,0,0,1386,129,0,no,1535,1535,1463,32,12,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116935001
658,09,011,693600,3,090116936003,Block Group 3,G5030,S,3602555.000000000000000,0.000000000000000,+41.3935894,-072.1178902,2284,2285,1500000US090116936003,"Block Group 3, Census Tract 6936, New London County, Connecticut",630,7,0,7,8,4,0,0,24,580,50,0,no,630,630,581,0,37,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116936003
659,09,011,693600,1,090116936001,Block Group 1,G5030,S,5882932.000000000000000,811398.000000000000000,+41.4164244,-072.1134952,2282,2283,1500000US090116936001,"Block Group 1, Census Tract 6936, New London County, Connecticut",834,15,12,0,19,16,22,0,12,738,96,0,no,834,823,823,0,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,090116936001
660,09,011,702300,1,090117023001,Block Group 1,G5030,S,1751936.000000000000000,1127129.000000000000000,+41.3801985,-072.0837217,2345,2346,1500000US090117023001,"Block Group 1, Census Tract 7023, New London County, Connecticut",1397,24,10,8,75,100,130,0,43,1007,390,0,no,1518,1412,1136,115,0,41,0,4,116,106,50,0,2,0,0,27,27,1,0,0,0,0,0,0,090117023001
661,09,011,702400,3,090117024003,Block Group 3,G5030,S,1235157.000000000000000,9283.000000000000000,+41.3507292,-072.0728185,2349,2350,1500000US090117024003,"Block Group 3, Census Tract 7024, New London County, Connecticut",1262,35,41,10,14,48,34,10,4,1066,196,0,no,1262,1176,962,58,14,58,0,0,84,86,40,10,0,0,0,14,22,1,0,0,0,0,0,0,090117024003
662,09,011,702400,2,090117024002,Block Group 2,G5030,S,970690.000000000000000,251107.000000000000000,+41.3565152,-072.0775101,2348,2349,1500000US090117024002,"Block Group 2, Census Tract 7024, New London County, Connecticut",1812,11,35,40,12,7,42,40,20,1605,207,0,no,1812,1723,1430,120,40,95,0,7,31,89,49,0,0,0,0,20,20,1,0,0,0,0,0,0,090117024002
663,09,011,702400,1,090117024001,Block Group 1,G5030,S,657145.000000000000000,212453.000000000000000,+41.3632721,-072.0781736,2347,2348,1500000US090117024001,"Block Group 1, Census Tract 7024, New London County, Connecticut",448,0,0,0,5,7,6,30,0,400,48,0,no,462,462,415,31,0,5,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090117024001
664,09,011,702500,2,090117025002,Block Group 2,G5030,S,760604.000000000000000,0.000000000000000,+41.3344869,-072.0698871,2351,2352,1500000US090117025002,"Block Group 2, Census Tract 7025, New London County, Connecticut",581,56,18,0,8,58,0,0,0,441,140,0,no,581,548,438,51,0,0,8,0,51,33,3,0,0,0,0,14,16,1,0,0,0,0,0,0,090117025002
665,09,011,693600,2,090116936002,Block Group 2,G5030,S,1725190.000000000000000,686151.000000000000000,+41.3932826,-072.1040784,2283,2284,1500000US090116936002,"Block Group 2, Census Tract 6936, New London County, Connecticut",952,6,8,5,9,24,11,7,0,882,70,0,no,1477,1442,1311,85,0,33,0,0,13,35,10,11,0,0,0,14,0,1,0,0,0,0,0,0,090116936002
666,09,011,693700,1,090116937001,Block Group 1,G5030,S,27919946.000000000000000,673945.000000000000000,+41.3958493,-072.1723074,2285,2286,1500000US090116937001,"Block Group 1, Census Tract 6937, New London County, Connecticut",1572,48,0,7,11,52,0,34,71,1349,223,0,no,1625,1573,1407,37,0,88,0,0,41,52,52,0,0,0,0,0,0,1,0,0,0,0,0,0,090116937001
667,09,011,693700,2,090116937002,Block Group 2,G5030,S,6781580.000000000000000,522697.000000000000000,+41.3911738,-072.1323934,2286,2287,1500000US090116937002,"Block Group 2, Census Tract 6937, New London County, Connecticut",1520,23,0,25,0,43,18,0,7,1404,116,0,no,1606,1514,1411,19,14,58,0,0,12,92,30,5,0,0,0,51,6,1,0,0,0,0,0,0,090116937002
668,09,011,693400,3,090116934003,Block Group 3,G5030,S,1045020.000000000000000,0.000000000000000,+41.3475276,-072.1226545,2278,2279,1500000US090116934003,"Block Group 3, Census Tract 6934, New London County, Connecticut",397,6,0,19,12,59,30,0,0,271,126,0,yes,397,397,393,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116934003
669,09,011,693400,2,090116934002,Block Group 2,G5030,S,1704673.000000000000000,12212.000000000000000,+41.3515390,-072.1328633,2277,2278,1500000US090116934002,"Block Group 2, Census Tract 6934, New London County, Connecticut",1841,68,62,10,11,169,11,27,35,1448,393,0,no,1948,1885,1735,53,9,41,0,0,47,63,16,0,0,0,0,42,5,1,0,0,0,0,0,0,090116934002
670,09,011,702500,1,090117025001,Block Group 1,G5030,S,933704.000000000000000,28421.000000000000000,+41.3375603,-072.0634052,2350,2351,1500000US090117025001,"Block Group 1, Census Tract 7025, New London County, Connecticut",2568,248,191,168,305,136,221,146,71,1082,1486,1,yes,2580,2087,1340,428,42,100,0,7,170,493,183,49,5,0,0,164,92,1,0,0,0,0,0,0,090117025001
671,09,011,702500,3,090117025003,Block Group 3,G5030,S,985865.000000000000000,524052.000000000000000,+41.3442714,-072.0780515,2352,2353,1500000US090117025003,"Block Group 3, Census Tract 7025, New London County, Connecticut",1457,26,28,16,31,68,72,0,7,1209,248,0,no,1457,1444,1230,174,10,30,0,0,0,13,7,0,0,0,0,6,0,1,0,0,0,0,0,0,090117025003
672,09,011,702600,2,090117026002,Block Group 2,G5030,S,1082136.000000000000000,7020124.000000000000000,+41.3169252,-072.0658009,2354,2355,1500000US090117026002,"Block Group 2, Census Tract 7026, New London County, Connecticut",498,0,0,0,0,6,0,0,0,492,6,0,no,498,498,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090117026002
673,09,011,702600,1,090117026001,Block Group 1,G5030,S,1361578.000000000000000,1479284.000000000000000,+41.3302850,-072.0770557,2353,2354,1500000US090117026001,"Block Group 1, Census Tract 7026, New London County, Connecticut",684,0,0,0,0,5,0,0,0,679,5,0,no,1415,1366,1229,70,7,24,0,7,29,49,0,0,12,0,0,37,0,1,0,0,0,0,0,0,090117026001
674,09,011,702800,1,090117028001,Block Group 1,G5030,S,1638357.000000000000000,28472.000000000000000,+41.3422437,-072.0265740,2357,2358,1500000US090117028001,"Block Group 1, Census Tract 7028, New London County, Connecticut",1869,41,25,172,56,82,195,65,34,1199,670,0,yes,1875,1746,1080,240,73,153,64,6,130,129,85,21,0,0,0,23,0,1,0,0,0,0,0,0,090117028001
675,09,011,703000,1,090117030001,Block Group 1,G5030,S,968407.000000000000000,128274.000000000000000,+41.3546725,-071.9739781,2363,2364,1500000US090117030001,"Block Group 1, Census Tract 7030, New London County, Connecticut",1303,27,10,25,16,21,21,0,5,1178,125,0,no,1303,1287,1220,16,7,9,0,0,35,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,090117030001
676,09,011,703000,3,090117030003,Block Group 3,G5030,S,2480813.000000000000000,202736.000000000000000,+41.3639328,-071.9791361,2365,2366,1500000US090117030003,"Block Group 3, Census Tract 7030, New London County, Connecticut",876,13,0,0,43,0,7,0,36,777,99,0,no,976,928,917,0,0,4,0,0,7,48,41,0,0,0,0,0,7,1,0,0,0,0,0,0,090117030003
677,09,011,703000,2,090117030002,Block Group 2,G5030,S,2768865.000000000000000,1172922.000000000000000,+41.3438057,-071.9890477,2364,2365,1500000US090117030002,"Block Group 2, Census Tract 7030, New London County, Connecticut",1557,26,0,25,8,6,7,0,22,1463,94,0,no,1557,1528,1460,0,0,52,0,0,16,29,29,0,0,0,0,0,0,1,0,0,0,0,0,0,090117030002
678,09,011,870100,3,090118701003,Block Group 3,G5030,S,36341507.000000000000000,799863.000000000000000,+41.5862411,-072.2349446,2427,2428,1500000US090118701003,"Block Group 3, Census Tract 8701, New London County, Connecticut",1316,0,0,59,29,20,39,17,0,1152,164,0,no,1455,1449,1400,17,6,7,0,0,19,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,090118701003
679,09,011,870100,5,090118701005,Block Group 5,G5030,S,12889389.000000000000000,1727079.000000000000000,+41.6351044,-072.3006429,2429,2430,1500000US090118701005,"Block Group 5, Census Tract 8701, New London County, Connecticut",714,7,0,0,33,0,49,0,0,625,89,0,no,718,718,696,0,0,11,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090118701005
680,09,011,870100,4,090118701004,Block Group 4,G5030,S,28550287.000000000000000,152597.000000000000000,+41.6298864,-072.2641000,2428,2429,1500000US090118701004,"Block Group 4, Census Tract 8701, New London County, Connecticut",1480,0,0,41,15,6,0,0,36,1382,98,0,no,1487,1459,1415,16,0,0,0,7,21,28,6,0,0,0,0,9,13,1,0,0,0,0,0,0,090118701004
681,09,011,870100,2,090118701002,Block Group 2,G5030,S,41394063.000000000000000,280853.000000000000000,+41.6496618,-072.2108865,2426,2427,1500000US090118701002,"Block Group 2, Census Tract 8701, New London County, Connecticut",2090,0,7,43,68,57,90,23,46,1756,334,0,no,2099,2062,2034,0,0,6,0,0,22,37,0,0,0,0,0,30,7,1,0,0,0,0,0,0,090118701002
682,09,011,870100,1,090118701001,Block Group 1,G5030,S,21070715.000000000000000,26179.000000000000000,+41.6795407,-072.2526468,2425,2426,1500000US090118701001,"Block Group 1, Census Tract 8701, New London County, Connecticut",1148,0,0,0,0,17,36,0,39,1056,92,0,no,1148,1070,1070,0,0,0,0,0,0,78,34,0,0,0,0,13,31,1,0,0,0,0,0,0,090118701001
683,09,011,701100,4,090117011004,Block Group 4,G5030,S,15421363.000000000000000,338773.000000000000000,+41.4358680,-071.9649680,2334,2335,1500000US090117011004,"Block Group 4, Census Tract 7011, New London County, Connecticut",2156,70,58,22,16,41,139,17,62,1731,425,0,no,2178,2093,1710,112,93,87,0,29,62,85,32,0,10,0,0,43,0,1,0,0,0,0,0,0,090117011004
684,09,011,701200,5,090117012005,Block Group 5,G5030,S,2226355.000000000000000,864549.000000000000000,+41.4206474,-072.0862607,2339,2340,1500000US090117012005,"Block Group 5, Census Tract 7012, New London County, Connecticut",1093,32,0,0,0,20,14,0,0,1027,66,0,no,1093,1041,999,0,0,0,19,6,17,52,52,0,0,0,0,0,0,1,0,0,0,0,0,0,090117012005
685,09,011,710100,1,090117101001,Block Group 1,G5030,S,23442621.000000000000000,382125.000000000000000,+41.6146348,-072.0047721,2396,2397,1500000US090117101001,"Block Group 1, Census Tract 7101, New London County, Connecticut",2152,5,0,23,20,61,85,0,0,1958,194,0,no,2152,2134,2073,9,0,18,0,0,34,18,7,0,0,0,0,11,0,1,0,0,0,0,0,0,090117101001
686,09,011,710100,2,090117101002,Block Group 2,G5030,S,15433241.000000000000000,243278.000000000000000,+41.5756349,-072.0198053,2397,2398,1500000US090117101002,"Block Group 2, Census Tract 7101, New London County, Connecticut",1140,16,29,11,2,38,19,32,40,953,187,0,no,1158,1158,1094,0,0,10,5,9,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090117101002
687,09,011,710100,3,090117101003,Block Group 3,G5030,S,3322527.000000000000000,410702.000000000000000,+41.5607547,-072.0309345,2398,2399,1500000US090117101003,"Block Group 3, Census Tract 7101, New London County, Connecticut",759,14,22,8,0,13,27,42,0,633,126,0,no,759,753,747,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,090117101003
688,09,011,650100,3,090116501003,Block Group 3,G5030,S,23637999.000000000000000,3155386.000000000000000,+41.3686602,-072.3323252,2241,2242,1500000US090116501003,"Block Group 3, Census Tract 6501, New London County, Connecticut",866,0,3,4,5,15,0,0,0,839,27,0,no,866,854,850,4,0,0,0,0,0,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,090116501003
689,09,011,650100,1,090116501001,Block Group 1,G5030,S,37616254.000000000000000,370148.000000000000000,+41.4106138,-072.3210008,2239,2240,1500000US090116501001,"Block Group 1, Census Tract 6501, New London County, Connecticut",762,13,0,5,72,8,30,18,0,616,146,0,no,762,762,758,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116501001
690,09,011,650100,2,090116501002,Block Group 2,G5030,S,21235758.000000000000000,3281383.000000000000000,+41.4009839,-072.3868631,2240,2241,1500000US090116501002,"Block Group 2, Census Tract 6501, New London County, Connecticut",388,0,0,0,6,6,0,0,0,376,12,0,no,388,383,383,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,090116501002
691,09,011,695100,1,090116951001,Block Group 1,G5030,S,4337629.000000000000000,433721.000000000000000,+41.4890354,-072.0933364,2287,2288,1500000US090116951001,"Block Group 1, Census Tract 6951, New London County, Connecticut",1354,36,8,12,0,33,32,0,8,1225,129,0,no,1450,1450,1311,56,24,0,0,0,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116951001
692,09,011,695100,2,090116951002,Block Group 2,G5030,S,10883561.000000000000000,1814418.000000000000000,+41.4582140,-072.0979369,2288,2289,1500000US090116951002,"Block Group 2, Census Tract 6951, New London County, Connecticut",2618,87,41,14,91,0,60,15,32,2278,340,0,no,4130,3614,2731,688,118,0,0,0,77,516,109,44,16,0,0,253,94,1,0,0,0,0,0,0,090116951002
693,09,011,695100,3,090116951003,Block Group 3,G5030,S,3828274.000000000000000,9115.000000000000000,+41.4712973,-072.1084129,2289,2290,1500000US090116951003,"Block Group 3, Census Tract 6951, New London County, Connecticut",1322,30,0,9,17,82,32,18,103,1031,291,0,no,1322,1254,1091,16,0,72,0,14,61,68,36,9,0,0,0,23,0,1,0,0,0,0,0,0,090116951003
694,09,011,695201,2,090116952012,Block Group 2,G5030,S,4576477.000000000000000,408609.000000000000000,+41.4618008,-072.1503224,2292,2293,1500000US090116952012,"Block Group 2, Census Tract 6952.01, New London County, Connecticut",1137,28,6,27,0,37,0,0,7,1032,105,0,no,1154,1111,1101,0,0,0,0,0,10,43,19,0,0,0,0,24,0,1,0,0,0,0,0,0,090116952012
695,09,011,695201,3,090116952013,Block Group 3,G5030,S,16456807.000000000000000,24153.000000000000000,+41.4447659,-072.1625486,2293,2294,1500000US090116952013,"Block Group 3, Census Tract 6952.01, New London County, Connecticut",987,0,0,0,38,16,19,0,10,904,83,0,no,994,943,903,23,0,6,0,0,11,51,43,0,0,0,0,0,8,1,0,0,0,0,0,0,090116952013
696,09,011,695201,1,090116952011,Block Group 1,G5030,S,12203527.000000000000000,302053.000000000000000,+41.4880715,-072.1378603,2291,2292,1500000US090116952011,"Block Group 1, Census Tract 6952.01, New London County, Connecticut",1152,63,25,18,7,30,5,0,37,967,185,0,no,1152,1123,962,21,71,49,0,0,20,29,19,0,0,0,0,10,0,1,0,0,0,0,0,0,090116952011
697,09,011,695202,2,090116952022,Block Group 2,G5030,S,15480196.000000000000000,109831.000000000000000,+41.4838439,-072.1717129,2296,2297,1500000US090116952022,"Block Group 2, Census Tract 6952.02, New London County, Connecticut",1487,34,2,0,0,109,97,55,0,1190,297,0,no,1497,1469,1411,0,0,35,0,0,23,28,8,0,0,0,0,0,20,1,0,0,0,0,0,0,090116952022
698,09,011,695202,4,090116952024,Block Group 4,G5030,S,18491453.000000000000000,952012.000000000000000,+41.4381471,-072.2106558,2298,2299,1500000US090116952024,"Block Group 4, Census Tract 6952.02, New London County, Connecticut",1492,0,0,37,25,0,57,11,42,1320,172,0,no,1492,1492,1453,13,0,19,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090116952024
699,09,011,695202,3,090116952023,Block Group 3,G5030,S,3146797.000000000000000,0.000000000000000,+41.4690169,-072.1917730,2297,2298,1500000US090116952023,"Block Group 3, Census Tract 6952.02, New London County, Connecticut",1425,12,0,0,0,32,38,0,28,1315,110,0,no,1438,1402,1187,115,8,75,0,0,17,36,36,0,0,0,0,0,0,1,0,0,0,0,0,0,090116952023
700,09,011,695202,1,090116952021,Block Group 1,G5030,S,8048869.000000000000000,1152081.000000000000000,+41.4957807,-072.2047894,2295,2296,1500000US090116952021,"Block Group 1, Census Tract 6952.02, New London County, Connecticut",1016,8,0,14,9,7,38,0,10,930,86,0,no,1023,960,884,47,0,29,0,0,0,63,63,0,0,0,0,0,0,1,0,0,0,0,0,0,090116952021
