"","OBJECTID","Join_Count","TARGET_FID","YEAR","TRI_FACILI","FRS_ID","FACILITY_N","STREET_ADD","CITY","COUNTY","ST","ZIP","BIA_CODE","TRIBE","LATITUDE","LONGITUDE","FEDERAL_FA","INDUSTRY_S","INDUSTRY_1","PRIMARY_SI","SIC_2","SIC_3","SIC_4","SIC_5","SIC_6","PRIMARY_NA","NAICS_2","NAICS_3","NAICS_4","NAICS_5","NAICS_6","DOC_CTRL_N","CHEMICAL","CAS___COMP","SRS_ID","CLEAR_AIR_","CLASSIFICA","METAL","METAL_CATE","CARCINOGEN","FORM_TYPE","UNIT_OF_ME","F5_1_FUGITI","F5_2_STACK_","F5_3_WATER","F5_4_UNDERG","F5_4_1_UNDE","F5_4_2_UNDE","F5_5_1_LAND","F5_5_1A_RCR","F5_5_1B_OTH","F5_5_2_LAND","F5_5_3_SURF","F5_5_3A_RCR","F5_5_3B_Oth","F5_5_4_OTHE","ON_SITE_RE","F6_1_POTW_T","F6_1_POTW_1","F6_1_POTW_2","F6_2_M10","F6_2_M41","F6_2_M62","F6_2_M71","F6_2_M81","F6_2_M82","F6_2_M72","F6_2_M63","F6_2_M66","F6_2_M67","F6_2_M64","F6_2_M65","F6_2_M73","F6_2_M79","F6_2_M90","F6_2_M94","F6_2_M99","OFF_SITE_R","F6_2_M20","F6_2_M24","F6_2_M26","F6_2_M28","F6_2_M93","OFF_SITE_1","F6_2_M56","F6_2_M92","OFF_SITE_2","F6_2_M40","F6_2_M50","F6_2_M54","F6_2_M61","F6_2_M69","F6_2_M95","OFF_SITE_T","TOTAL_RELE","F8_1_RELEAS","F8_1A_ON_SI","F8_1B_ON_SI","F8_1C_OFF_S","F8_1D_OFF_S","F8_2_ENERGY","F8_3_ENERGY","F8_4_RECYCL","F8_5_RECYCL","F8_6_TREATM","F8_7_TREATM","PROD__WAST","F8_8_ONE_TI","PROD_RATIO","F8_9_PRODUC","PARENT_COM","PARENT_C_1","Field110","STATEFP00","COUNTYFP00","TRACTCE00","BLKGRPCE00","BKGPIDFP00","NAMELSAD00","MTFCC00","FUNCSTAT00","ALAND00","AWATER00","INTPTLAT00","INTPTLON00","OID_","Field1","GEOID","GEO_label","total_x","under_50","from_50_to","from_75_to","from_100_t","from_125_t","from_150_t","from_175_t","from_185_t","from_200_u","below_200","fraction_b","over_30_un","total_y","not_Hispan","non_HL_whi","non_HL_Bla","non_HL_AIA","non_HL_Asi","non_HL_NHO","non_HL_oth","non_HL_2_p","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_wh","percent_Bl","percent_HL","percent_AI","percent_As","percent_NH","percent_ot","GEOID2_Tex","STATEFP10","COUNTYFP10","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","NAMELSAD10","LSAD10","CLASSFP10","MTFCC10","CNECTAFP10","NECTAFP10","NCTADVFP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","GEOID_AFF2","GEOID_AFF1","covered_facility","TRUE_TOTAL_RELEASE_POUNDS","added_since_2008"
"169",170,0,170,2016,"06457MDDLT1866R",110000316266,"MIDDLETOWN STATION","1866 RIVER RD","MIDDLETOWN","MIDDLESEX","CT",6457,NA,NA,41.554782,-72.58358,"NO",2211,"Electric Utilities",NA,NA,NA,NA,NA,NA,221112,0,0,0,0,0,1316215146730,"NAPHTHALENE","000091203",13326,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"NRG ENERGY INC","793422213",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no"
"170",171,0,171,2016,"06483MCRBR4PROG",110013288628,"MICROBOARD PROCESSING INC","4 PROGRESS AVE","SEYMOUR","NEW HAVEN","CT",6483,NA,NA,41.39068,-73.05152,"NO",334,"Computers and Electronic Products",NA,NA,NA,NA,NA,NA,334418,0,0,0,0,0,1316215399650,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0228,0,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.0248,0,94.36,0,0,0,94.36,0,0,0,0,0,0,0,0,0,0,0.0948,0,0,0.07,0.014364,0.010436,0,0,0,94.36,0,0,94.4548,0,"ACTIVITY",0.9,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0948,"no"
"171",172,0,172,2016,"06480SFTYK56BRW",110001404187,"SAFETY-KLEEN SYSTEMS INC","56 BROWNSTONE AVE","PORTLAND","MIDDLESEX","CT",6480,NA,NA,41.571499,-72.645308,"NO",4247,"Petroleum Bulk Terminals",NA,NA,NA,NA,NA,NA,424710,325998,0,0,0,0,1316215672650,"ETHYLENE GLYCOL","000107211",24257,"YES","TRI","NO",0,"NO","R","Pounds",19,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19387,0,0,19387,24,0,0,24,0,0,0,0,0,0,0,19387,19411,0,"PRODUCTION",0.59,"SAFETY-KLEEN SYSTEMS INC","053976551",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,"no"
"172",173,0,173,2016,"06514SPRRP750SH",110000316890,"SUPERIOR PRINTING INK CO INC","750 SHERMAN AVE","HAMDEN","NEW HAVEN","CT",6514,NA,NA,41.40298,-72.9147,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325910,0,0,0,0,0,1316215373260,"BARIUM COMPOUNDS","N040",649426,"NO","TRI","NO",3,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,1056,0,0,0,0,0,0,1056,0,"PRODUCTION",0.83,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1056,"no"
"173",174,1,174,2016,"06704DVNCD1875T",110000317112,"LUVATA WATERBURY INC","2121 THOMASTON AVE SUITE 1 -","WATERBURY","NEW HAVEN","CT",6704,NA,NA,41.593458,-73.055978,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331420,335929,332618,0,0,0,1316215450520,"COPPER COMPOUNDS","N100",649491,"NO","TRI","YES",1,"NO","R","Pounds",5,6,8,0,0,0,0,0,0,0,0,0,0,0,19,0.1,0,0.1,0,0,0,0,3624,0,0,0,0,0,0,0,0,0,0,1308,0,4932.1,0,752223,0,0,0,752223,0,0,0,0,0,0,0,0,0,0,4951.1,0,0,19,3624.072,1308.028,0,0,0,752223,0,0,757174.1,0,"PRODUCTION",1.45,"LUVATA FABRICATION NA INC","041334514",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4951.1,"no"
"174",175,0,175,2016,"06037TRSTR101MA",110012234590,"TRI-STAR INDUSTRIES INC","101 MASSIRIO DR","BERLIN","HARTFORD","CT",6037,NA,NA,41.628125,-72.752862,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332722,0,0,0,0,0,1316215032120,"CHROMIUM","007440473",150060,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,0,0,2874,0,"PRODUCTION",1.05,"MW INDUSTRIES INC","141534284",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no"
"175",176,0,176,2016,"06804PHRMC58VAL",110000317595,"PHARMCO PRODUCTS","58 VALE RD","BROOKFIELD","FAIRFIELD","CT",6804,NA,NA,41.43406,-73.39916,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325193,325199,0,0,0,0,1316215699870,"METHANOL","000067561",4283,"YES","TRI","NO",0,"NO","R","Pounds",122.79,668.17,0,0,0,0,0,0,0,0,0,0,0,0,790.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.96,0,0,790.96,0,0,0,0,0,0,0,0,790.96,0,"PRODUCTION",1.05,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,790.96,"no"
"176",177,0,177,2016,"06037TRSTR101MA",110012234590,"TRI-STAR INDUSTRIES INC","101 MASSIRIO DR","BERLIN","HARTFORD","CT",6037,NA,NA,41.628125,-72.752862,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332722,0,0,0,0,0,1316215032130,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,0,55,18233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18233,0,0,18233,0,"PRODUCTION",1.02,"MW INDUSTRIES INC","141534284",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no"
"177",178,0,178,2016,"06480SFTYK56BRW",110001404187,"SAFETY-KLEEN SYSTEMS INC","56 BROWNSTONE AVE","PORTLAND","MIDDLESEX","CT",6480,NA,NA,41.571499,-72.645308,"NO",4247,"Petroleum Bulk Terminals",NA,NA,NA,NA,NA,NA,424710,325998,0,0,0,0,1316215672610,"POLYCYCLIC AROMATIC COMPOUNDS","N590",649749,"YES","PBT","NO",0,"YES","R","Pounds",0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0.54,0,0,0,0,0,0,0.26,0,0,0.26,0.22,0,0,0.22,0,0,0,0,0,0.54,0,0.26,1.02,0,"PRODUCTION",0.36,"SAFETY-KLEEN SYSTEMS INC","053976551",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,"no"
"178",179,1,179,2016,"06607CNNCT128LO",110016679931,"CONNECTICUT ANODIZING & FINISHING CO INC","128 LOGAN ST","BRIDGEPORT","FAIRFIELD","CT",6607,NA,NA,41.17681,-73.15906,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,0,0,0,0,1316215334700,"NITRIC ACID","007697372",152686,"NO","TRI","NO",0,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5198,5198,0,0,0,0,0,0,0,0,0,0,15358,5198,20556,0,"PRODUCTION",0.98,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"no"
"179",180,0,180,2016,"06460CPCNC15216",110000316300,"CAAP CO INC","152 PEPE'S FARM RD","MILFORD","NEW HAVEN","CT",6460,NA,NA,41.23099,-73.01975,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325510,0,0,0,0,0,1316215050920,"METHYL ISOBUTYL KETONE","000108101",24851,"YES","TRI","NO",0,"NO","R","Pounds",250,750,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,638,1000,0,0,750,0,0,0,0,0,0,0,638,1388,0,"PRODUCTION",0.85,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,"no"
"180",181,1,181,2016,"06241NTNLPBOX41",110002089061,"WINCHESTER INTERCONNECT CM CORP","349 LAKE RD","DAYVILLE","WINDHAM","CT",6241,NA,NA,41.86664,-71.90115,"NO",335,"Electrical Equipment",NA,NA,NA,NA,NA,NA,335929,923110,0,0,0,0,1316215820250,"DI(2-ETHYLHEXYL) PHTHALATE","000117817",29934,"YES","TRI","NO",0,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,146,0,0,0,0,0,0,146,0,"PRODUCTION",3.65,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,146,"no"
"181",182,1,182,2016,"06516DTSCH14FAR",110000316907,"DEITSCH PLASTIC CO INC","14 FARWELL ST","WEST HAVEN","NEW HAVEN","CT",6516,NA,NA,41.2859,-72.97806,"NO",313,"Textiles",NA,NA,NA,NA,NA,NA,313320,0,0,0,0,0,1316215320110,"CERTAIN GLYCOL ETHERS","N230",649541,"YES","TRI","NO",0,"NO","R","Pounds",109,271,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,380,0,0,0,0,0,0,10561,0,10941,0,"PRODUCTION",1.57,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,380,"no"
"182",183,0,183,2016,"06804PHRMC58VAL",110000317595,"PHARMCO PRODUCTS","58 VALE RD","BROOKFIELD","FAIRFIELD","CT",6804,NA,NA,41.43406,-73.39916,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325193,325199,0,0,0,0,1316215699890,"METHYL ISOBUTYL KETONE","000108101",24851,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no"
"183",184,0,184,2016,"06037TRSTR101MA",110012234590,"TRI-STAR INDUSTRIES INC","101 MASSIRIO DR","BERLIN","HARTFORD","CT",6037,NA,NA,41.628125,-72.752862,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332722,0,0,0,0,0,1316215032120,"COPPER","007440508",150086,"NO","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399908,0,0,1096,401004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401004,0,0,401004,0,"PRODUCTION",1.02,"MW INDUSTRIES INC","141534284",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no"
"184",185,0,185,2016,"06340GNRLD75EAS",110011370729,"ELECTRIC BOAT CORP","75 EASTERN POINT RD","GROTON","NEW LONDON","CT",6340,NA,NA,41.350542,-72.082559,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336611,0,0,0,0,0,1316215164550,"DIISOCYANATES","N120",649715,"YES","TRI","NO",0,"NO","R","Pounds",0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,0,2118,5,0,0,5,0,0,0,0,0,0,0,2118,2123,0,"PRODUCTION",1,"GENERAL DYNAMICS CORP","001381284",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"no"
"185",186,1,186,2016,"06706SMRST215PI",110033642547,"GBC METALS LLC SOMERS THIN STRIP","215 PIEDMONT ST","WATERBURY","NEW HAVEN","CT",6706,NA,NA,41.534338,-73.032406,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331420,332813,331491,0,0,0,1316215593180,"CHROMIUM","007440473",150060,"YES","TRI","YES",1,"YES","R","Pounds",0,0,5.102,0,0,0,0,0,0,0,0,0,0,0,5.102,0.003,0,0.003,0,244.0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.0846,0,394649,0,0,0,394649,0,0,0,0,0,0,0,0,0,0,249.1866,0,0,5.102,0.00228,244.08232,0,0,0,394649,0,0,394898.1866,0,"PRODUCTION",0.73,"GLOBAL BRASS & COPPER INC","808499920",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,249.1866,"no"
"186",187,0,187,2016,"06457TXTCH150IN",110000316284,"HABASIT AMERICA INC","150 INDUSTRIAL PARK RD","MIDDLETOWN","MIDDLESEX","CT",6457,NA,NA,41.587737,-72.714654,"NO",326,"Plastics and Rubber",NA,NA,NA,NA,NA,NA,326220,0,0,0,0,0,1316215134690,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","R","Pounds",4976,6463,0,0,0,0,0,0,0,0,0,0,0,0,11439,1.8,5.7,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,7656,0,7656,0,0,0,0,0,0,5.7,11440.8,0,0,11439,0.075,1.725,0,7656,634759,0,0,5.7,653861.5,0,"PRODUCTION",1,"HABASIT AG",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11440.8,"no"
"187",188,0,188,2016,"06473JNSNN5STIL",110012541981,"JENSEN INDUSTRIES INC","50 STILLMAN RD","NORTH HAVEN","NEW HAVEN","CT",6473,NA,NA,41.39052,-72.86834,"NO",339,"Miscellaneous Manufacturing",NA,NA,NA,NA,NA,NA,339114,0,0,0,0,0,1316215063230,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,325,0,0,325.2,0,"PRODUCTION",0.63,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,"no"
"188",189,0,189,2016,"06897PRKNL77DAN",110009128951,"ASML US LLC","77 DANBURY RD","WILTON","FAIRFIELD","CT",6897,NA,NA,41.17191,-73.41648,"NO",333,"Machinery",NA,NA,NA,NA,NA,NA,333242,333314,0,0,0,0,1316215562180,"LEAD COMPOUNDS","N420",650002,"YES","PBT","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,2e-04,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,49.635,0,50.3952,0,0,1.429,0,0,1.429,0,0,0,0,0,0,0,0,0,0,50.3952,0,0,0,0.000126,50.395074,0,0,0,1.429,0,0,51.8242,0,"PRODUCTION",1.29,"ASML US INC","114783041",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50.3952,"no"
