"TREND_LOCATION","POLLUTANT","MAJOR_SOURCE_TYPE","TREND_SECTOR","2002_EMISSION_TONS","2005_EMISSION_TONS","2008_EMISSION_TONS","2011_EMISSION_TONS","2014_EMISSION_TONS"
"National","Nitrogen Oxides","Mobile Sources","Non-Road",4863693,4274735,3484765.22,3081378.33,2679550.70
"National","Nitrogen Oxides","Mobile Sources","On-Road",10337276,8337747,6941434.85,5870346.43,4879134.02
"National","Nitrogen Oxides","Stationary Sources","Fuel Combustion - Electric Generation",4709408,3792292,3143620.20,2090114.46,1770431.19
"National","Nitrogen Oxides","Stationary Sources","Fuel Combustion - Other",2778702,2550227,1983839.16,1813528.62,1684244.01
"National","Nitrogen Oxides","Stationary Sources","Industrial and Other Processes",1156063,1305954,1259329.64,1478743.29,1463018.46
"National","PM2.5","Fire Sources","Wildfires",1131071,673037,998604.39,1125175.60,886245.62
"National","PM2.5","Mobile Sources","Non-Road",337962,287382,236358.26,210485.82,175867.76
"National","PM2.5","Mobile Sources","On-Road",329563,307899,252603.00,197527.98,163092.73
"National","PM2.5","Stationary Sources","Fuel Combustion - Electric Generation",506195,515665,309315.18,205262.54,182034.68
"National","PM2.5","Stationary Sources","Fuel Combustion - Other",622300,615880,525602.42,637584.60,566978.13
"National","PM2.5","Stationary Sources","Industrial and Other Processes",2878095,3192141,3691659.41,3723573.82,3417717.39
"National","PM10","Fire Sources","Wildfires",1334675,805007,1177933.90,1325990.64,1045755.36
"National","PM10","Mobile Sources","Non-Road",362427,303670,259827.73,223397.42,187178.69
"National","PM10","Mobile Sources","On-Road",401749,382767,331899.77,370825.88,304269.28
"National","PM10","Stationary Sources","Fuel Combustion - Electric Generation",620041,627017,408757.42,280160.78,233506.10
"National","PM10","Stationary Sources","Fuel Combustion - Other",829879,814450,577308.46,698496.58,633751.06
"National","PM10","Stationary Sources","Industrial and Other Processes",18027107,18368611,18824204.92,17823656.89,15793092.46
"National","Sulfur Dioxide","Fire Sources","Wildfires",80335,55916,69993.06,95836.58,71448.27
"National","Sulfur Dioxide","Mobile Sources","Non-Road",725452,510290,201062.11,127134.42,68853.30
"National","Sulfur Dioxide","Mobile Sources","On-Road",285816,171623,39422.82,29464.85,28402.61
"National","Sulfur Dioxide","Stationary Sources","Fuel Combustion - Electric Generation",10436084,10404322,7792206.24,4625295.48,3243656.67
"National","Sulfur Dioxide","Stationary Sources","Fuel Combustion - Other",2364899,2316648,1359738.22,894608.91,649619.07
"National","Sulfur Dioxide","Stationary Sources","Industrial and Other Processes",1139479,1086951,861235.37,706498.90,613027.97
"National","Volatile Organic Compounds","Fire Sources","Wildfires",3213475,1867670,2846634.01,2891271.40,2466210.99
"National","Volatile Organic Compounds","Mobile Sources","Non-Road",3085974,2866032,2545916.11,2157038.87,1760192.04
"National","Volatile Organic Compounds","Mobile Sources","On-Road",4013059,3443048,3051803.67,2871600.14,2377928.83
"National","Volatile Organic Compounds","Stationary Sources","Fuel Combustion - Electric Generation",49464,48172,43606.79,40578.65,37983.45
"National","Volatile Organic Compounds","Stationary Sources","Fuel Combustion - Other",1674957,721172,513325.13,587917.91,481326.09
"National","Volatile Organic Compounds","Stationary Sources","Industrial and Other Processes",8252521,8806911,8757570.40,9605879.83,9789114.27
